edge_idx,source,target,weight
1,0,31,0.3953481
2,0,979,0.391428
3,1,2,0.6249346
4,1,3,0.7718523
5,1,4,0.5607587
6,1,10,0.6628941
7,1,15,0.4162697
8,1,16,0.4366834
9,1,18,0.5233679
10,1,20,0.3682229
11,1,23,0.6850283
12,1,24,0.7385582
13,1,29,0.6795328
14,1,33,0.4398665
15,1,37,0.5635449
16,1,43,0.5623675
17,1,45,0.607408
18,1,49,0.4806509
19,1,56,0.4297131
20,1,57,0.5685815
21,1,59,0.396093
22,1,62,0.6840336
23,1,78,0.7160659
24,1,80,0.5314329
25,1,81,0.4602016
26,1,83,0.3881685
27,1,84,0.4365655
28,1,90,0.3789696
29,1,97,0.5537129
30,1,103,0.4005732
31,1,114,0.4687023
32,1,115,0.5573649
33,1,125,0.5711974
34,1,126,0.5445936
35,1,127,0.4098421
36,1,133,0.771284
37,1,141,0.4449187
38,1,149,0.489862
39,1,152,0.5227244
40,1,155,0.419469
41,1,163,0.6324795
42,1,173,0.4809309
43,1,177,0.4388621
44,1,179,0.414645
45,1,180,0.3947474
46,1,181,0.4285302
47,1,184,0.5965633
48,1,185,0.5311273
49,1,188,0.4642824
50,1,189,0.4498741
51,1,190,0.5001216
52,1,192,0.6669466
53,1,197,0.434903
54,1,198,0.5176824
55,1,201,0.4092102
56,1,208,0.4159499
57,1,229,0.5476013
58,1,230,0.4734953
59,1,251,0.5630394
60,1,252,0.5206116
61,1,277,0.6330901
62,1,279,0.7482045
63,1,285,0.4127347
64,1,294,0.4395202
65,1,301,0.4606218
66,1,311,0.5309328
67,1,319,0.4094888
68,1,322,0.3739009
69,1,329,0.4000098
70,1,344,0.4001246
71,1,345,0.407803
72,1,360,0.5787285
73,1,364,0.3949107
74,1,371,0.5299848
75,1,384,0.4165635
76,1,388,0.373368
77,1,392,0.4578479
78,1,393,0.6328648
79,1,394,0.6682175
80,1,405,0.455045
81,1,413,0.5502358
82,1,426,0.6227617
83,1,432,0.3959216
84,1,436,0.3880037
85,1,437,0.372228
86,1,443,0.4779201
87,1,480,0.4698336
88,1,482,0.4636022
89,1,490,0.4693867
90,1,498,0.5118361
91,1,500,0.5836183
92,1,504,0.4066325
93,1,524,0.4768821
94,1,525,0.3981625
95,1,538,0.4519571
96,1,541,0.4311339
97,1,546,0.3946352
98,1,551,0.5610789
99,1,554,0.3701043
100,1,559,0.6485928
101,1,565,0.545065
102,1,566,0.3682192
103,1,574,0.3870008
104,1,581,0.6560611
105,1,587,0.4672209
106,1,593,0.3917971
107,1,616,0.3695942
108,1,623,0.5882843
109,1,624,0.8745425
110,1,627,0.3925358
111,1,637,0.5356118
112,1,659,0.5364453
113,1,660,0.65189
114,1,662,0.3602263
115,1,675,0.5353771
116,1,709,0.4963082
117,1,717,0.4496185
118,1,727,0.4697904
119,1,741,0.3704622
120,1,742,0.6037268
121,1,752,0.3766632
122,1,758,0.3683582
123,1,774,0.4217627
124,1,796,0.4441088
125,1,814,0.4056592
126,1,823,0.4239432
127,1,827,0.3684946
128,1,830,0.5450866
129,1,831,0.4647579
130,1,838,0.3717278
131,1,841,0.4976273
132,1,875,0.4029775
133,1,877,0.4903518
134,1,896,0.3988546
135,1,908,0.3909807
136,1,917,0.6512367
137,1,933,0.4994047
138,1,940,0.4487585
139,1,962,0.3656908
140,1,971,0.5636684
141,1,975,0.5079577
142,2,3,0.6858337
143,2,4,0.5576197
144,2,10,0.5783154
145,2,12,0.5268553
146,2,15,0.3910158
147,2,16,0.4647994
148,2,18,0.609368
149,2,24,0.5793034
150,2,26,0.6272954
151,2,29,0.3901579
152,2,39,0.3793142
153,2,43,0.4496819
154,2,49,0.438242
155,2,57,0.5126294
156,2,62,0.5178906
157,2,69,0.4995808
158,2,78,0.5782841
159,2,80,0.8615623
160,2,81,0.7040664
161,2,87,0.4234841
162,2,97,0.4022598
163,2,109,0.4897424
164,2,129,0.4277976
165,2,132,0.6790971
166,2,138,0.6773349
167,2,141,0.4237855
168,2,165,0.6019619
169,2,177,0.3674751
170,2,193,0.3655221
171,2,196,0.4528133
172,2,197,0.3842358
173,2,208,0.4579542
174,2,277,0.5359878
175,2,279,0.6890082
176,2,293,0.4842605
177,2,301,0.3919973
178,2,302,0.5134777
179,2,311,0.5529163
180,2,315,0.409536
181,2,318,0.4732992
182,2,319,0.6092283
183,2,340,0.5143878
184,2,350,0.5281587
185,2,391,0.3610582
186,2,393,0.4805972
187,2,394,0.826408
188,2,405,0.3899686
189,2,409,0.4551778
190,2,413,0.3714205
191,2,436,0.3608128
192,2,455,0.4016294
193,2,456,0.5063322
194,2,467,0.6244848
195,2,476,0.4008624
196,2,482,0.4143228
197,2,504,0.3944755
198,2,508,0.6776878
199,2,514,0.4029647
200,2,551,0.4407221
201,2,552,0.4530616
202,2,555,0.3710668
203,2,559,0.4111822
204,2,565,0.4482505
205,2,581,0.4633911
206,2,586,0.4303527
207,2,587,0.5279734
208,2,593,0.4461416
209,2,594,0.6693879
210,2,602,0.3764317
211,2,623,0.6559725
212,2,624,0.603089
213,2,626,0.4252316
214,2,677,0.4493139
215,2,681,0.3794634
216,2,686,0.4135003
217,2,696,0.4843509
218,2,699,0.4122402
219,2,709,0.4980761
220,2,724,0.4552258
221,2,731,0.3600842
222,2,742,0.3881554
223,2,743,0.4822436
224,2,749,0.4028078
225,2,758,0.5185704
226,2,764,0.4780598
227,2,765,0.5122736
228,2,772,0.4979508
229,2,774,0.3642768
230,2,776,0.4810709
231,2,818,0.5811813
232,2,823,0.4232267
233,2,831,0.4147666
234,2,837,0.4536659
235,2,858,0.437794
236,2,859,0.4415937
237,2,867,0.3673805
238,2,898,0.4246232
239,2,917,0.389205
240,2,941,0.3798261
241,2,944,0.4549734
242,2,949,0.382203
243,2,971,0.36115
244,2,972,0.4589962
245,2,974,0.3888077
246,2,984,0.5814433
247,2,994,0.4851724
248,3,4,0.6631633
249,3,6,0.4167868
250,3,7,0.3850459
251,3,8,0.534536
252,3,10,0.7125022
253,3,11,0.5225307
254,3,12,0.36689
255,3,15,0.4845191
256,3,18,0.5587439
257,3,20,0.3699949
258,3,23,0.6085529
259,3,24,0.5446266
260,3,29,0.5783433
261,3,33,0.5903041
262,3,39,0.4337299
263,3,43,0.4801167
264,3,45,0.612185
265,3,52,0.6059399
266,3,54,0.3801834
267,3,57,0.6856055
268,3,59,0.4004707
269,3,62,0.6636253
270,3,67,0.5070391
271,3,78,0.5551701
272,3,80,0.4993838
273,3,81,0.5689663
274,3,84,0.6453959
275,3,85,0.4485271
276,3,90,0.6318524
277,3,92,0.4661422
278,3,103,0.42435
279,3,133,0.6536316
280,3,141,0.3956151
281,3,149,0.4807455
282,3,152,0.5172092
283,3,161,0.512266
284,3,163,0.5773275
285,3,165,0.3609684
286,3,173,0.6214076
287,3,177,0.5836695
288,3,179,0.4657063
289,3,180,0.4438046
290,3,181,0.4251728
291,3,183,0.4521581
292,3,184,0.4145809
293,3,185,0.4277893
294,3,188,0.400502
295,3,192,0.6492763
296,3,193,0.4831042
297,3,196,0.5619159
298,3,198,0.3861999
299,3,201,0.3852717
300,3,203,0.3897655
301,3,204,0.3684297
302,3,208,0.3833116
303,3,252,0.4002343
304,3,277,0.676574
305,3,279,0.5726896
306,3,281,0.3980686
307,3,292,0.5890514
308,3,293,0.4075105
309,3,294,0.5162448
310,3,322,0.5102908
311,3,344,0.4374122
312,3,360,0.5379019
313,3,369,0.3887208
314,3,370,0.3695032
315,3,371,0.5064914
316,3,381,0.3789755
317,3,392,0.3815305
318,3,393,0.7997766
319,3,394,0.7569988
320,3,405,0.6392761
321,3,413,0.6103033
322,3,426,0.5345953
323,3,428,0.4642779
324,3,440,0.4176219
325,3,443,0.6553375
326,3,450,0.3601132
327,3,453,0.4988006
328,3,472,0.3622256
329,3,476,0.4242172
330,3,498,0.6858284
331,3,500,0.3812396
332,3,508,0.471904
333,3,532,0.4353694
334,3,538,0.4812234
335,3,541,0.5956259
336,3,551,0.4596373
337,3,559,0.5891247
338,3,581,0.6713893
339,3,587,0.5661164
340,3,593,0.4007504
341,3,594,0.5015711
342,3,623,0.7284844
343,3,624,0.8575629
344,3,635,0.4710207
345,3,637,0.5384158
346,3,659,0.5951627
347,3,660,0.5914487
348,3,664,0.3988607
